abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,flavortext
['Torrent'| 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,Big Jaw Pokémon,80,1059860,1.1,65,Alligatesアリゲイツ,Croconaw,88.1,159,59,63,58,water,,25,2,0,
['Torrent'| 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,Big Jaw Pokémon,100,1059860,2.3,85,Ordileオーダイル,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0,
['Run Away'| 'Keen Eye'| 'Frisk'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,Scout Pokémon,34,1000000,0.8,35,Otachiオタチ,Sentret,50,161,35,45,20,normal,,6,2,0,
['Run Away'| 'Keen Eye'| 'Frisk'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,Long Body Pokémon,64,1000000,1.8,85,Ootachiオオタチ,Furret,50,162,45,55,90,normal,,32.5,2,0,
['Insomnia'| 'Keen Eye'| 'Tinted Lens'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,Owl Pokémon,30,1000000,0.7,60,Hohoホーホー,Hoothoot,50,163,36,56,50,normal,flying,21.2,2,0,
['Insomnia'| 'Keen Eye'| 'Tinted Lens'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,452,90,Owl Pokémon,50,1000000,1.6,100,Yorunozukuヨルノズク,Noctowl,50,164,86,96,70,normal,flying,40.8,2,0,
['Swarm'| 'Early Bird'| 'Rattled'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,265,255,Five Star Pokémon,30,800000,1,40,Redibaレディバ,Ledyba,50,165,40,80,55,bug,flying,10.8,2,0,
['Swarm'| 'Early Bird'| 'Iron Fist'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,390,90,Five Star Pokémon,50,800000,1.4,55,Redianレディアン,Ledian,50,166,55,110,85,bug,flying,35.6,2,0,
['Swarm'| 'Insomnia'| 'Sniper'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,250,255,String Spit Pokémon,40,800000,0.5,40,Itomaruイトマル,Spinarak,50,167,40,40,30,bug,poison,8.5,2,0,
['Swarm'| 'Insomnia'| 'Sniper'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,400,90,Long Leg Pokémon,70,800000,1.1,70,Ariadosアリアドス,Ariados,50,168,60,70,40,bug,poison,33.5,2,0,
['Inner Focus'| 'Infiltrator'],0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,535,90,Bat Pokémon,80,1000000,1.8,85,Crobatクロバット,Crobat,50,169,70,80,130,poison,flying,75,2,0,
['Volt Absorb'| 'Illuminate'| 'Water Absorb'],1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,330,190,Angler Pokémon,38,1250000,0.5,75,Chonchieチョンチー,Chinchou,50,170,56,56,67,water,electric,12,2,0,
['Volt Absorb'| 'Illuminate'| 'Water Absorb'],1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,5120,70,460,75,Light Pokémon,58,1250000,1.2,125,Lanternランターン,Lanturn,50,171,76,76,67,water,electric,22.5,2,0,
['Static'| 'Lightningrod'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,205,190,Tiny Mouse Pokémon,15,1000000,0.3,20,Pichuピチュー,Pichu,50,172,35,35,60,electric,,2,2,0,
['Cute Charm'| 'Magic Guard'| 'Friend Guard'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,Star Shape Pokémon,28,800000,0.3,50,Pyピィ,Cleffa,24.6,173,45,55,15,fairy,,3,2,0,
['Cute Charm'| 'Competitive'| 'Friend Guard'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,210,170,Balloon Pokémon,15,800000,0.3,90,Pupurinププリン,Igglybuff,24.6,174,40,20,15,normal,fairy,1,2,0,
['Hustle'| 'Serene Grace'| 'Super Luck'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,245,190,Spike Ball Pokémon,65,800000,0.3,35,Togepyトゲピー,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0,
['Hustle'| 'Serene Grace'| 'Super Luck'],0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,2560,70,405,75,Happiness Pokémon,85,800000,0.6,55,Togechickトゲチック,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0,
['Synchronize'| 'Early Bird'| 'Magic Bounce'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,320,190,Little Bird Pokémon,45,1000000,0.2,40,Natyネイティ,Natu,50,177,70,45,70,psychic,flying,2,2,0,
['Synchronize'| 'Early Bird'| 'Magic Bounce'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,5120,70,470,75,Mystic Pokémon,70,1000000,1.5,65,Natioネイティオ,Xatu,50,178,95,70,95,psychic,flying,15,2,0,
['Static'| 'Plus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,280,235,Wool Pokémon,40,1059860,0.6,55,Merriepメリープ,Mareep,50,179,65,45,35,electric,,7.8,2,0,
['Static'| 'Plus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,365,120,Wool Pokémon,55,1059860,0.8,70,Mokokoモココ,Flaaffy,50,180,80,60,45,electric,,13.3,2,0,
['Static'| 'Plus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,610,45,Light Pokémon,105,1059860,1.4,90,Denryuデンリュウ,Ampharos,50,181,165,110,45,electric,,61.5,2,0,
['Chlorophyll'| 'Healer'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,490,45,Flower Pokémon,95,1059860,0.4,75,Kireihanaキレイハナ,Bellossom,50,182,90,100,50,grass,,5.8,2,0,
['Thick Fat'| 'Huge Power'| 'Sap Sipper'],0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,250,190,Aquamouse Pokémon,50,800000,0.4,70,Marilマリル,Marill,50,183,20,50,40,water,fairy,8.5,2,0,
['Thick Fat'| 'Huge Power'| 'Sap Sipper'],0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,420,75,Aquarabbit Pokémon,80,800000,0.8,100,Marilliマリルリ,Azumarill,50,184,60,80,50,water,fairy,28.5,2,0,
['Sturdy'| 'Rock Head'| 'Rattled'],1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,Imitation Pokémon,115,1000000,1.2,70,Usokkieウソッキー,Sudowoodo,50,185,30,65,30,rock,,38,2,0,
['Water Absorb'| 'Damp'| 'Drizzle'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,500,45,Frog Pokémon,75,1059860,1.1,90,Nyorotonoニョロトノ,Politoed,50,186,90,100,70,water,,33.9,2,0,
['Chlorophyll'| 'Leaf Guard'| 'Infiltrator'],1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,Cottonweed Pokémon,40,1059860,0.4,35,Haneccoハネッコ,Hoppip,50,187,35,55,50,grass,flying,0.5,2,0,
['Chlorophyll'| 'Leaf Guard'| 'Infiltrator'],1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,Cottonweed Pokémon,50,1059860,0.6,55,Popoccoポポッコ,Skiploom,50,188,45,65,80,grass,flying,1,2,0,
['Chlorophyll'| 'Leaf Guard'| 'Infiltrator'],1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,Cottonweed Pokémon,70,1059860,0.8,75,Wataccoワタッコ,Jumpluff,50,189,55,95,110,grass,flying,3,2,0,
['Run Away'| 'Pickup'| 'Skill Link'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,Long Tail Pokémon,55,800000,0.8,55,Eipamエイパム,Aipom,50,190,40,55,85,normal,,11.5,2,0,
['Chlorophyll'| 'Solar Power'| 'Early Bird'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,Seed Pokémon,30,1059860,0.3,30,Himanutsヒマナッツ,Sunkern,50,191,30,30,30,grass,,1.8,2,0,
['Chlorophyll'| 'Solar Power'| 'Early Bird'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,Sun Pokémon,55,1059860,0.8,75,Kimawariキマワリ,Sunflora,50,192,105,85,30,grass,,8.5,2,0,
['Speed Boost'| 'Compoundeyes'| 'Frisk'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,Clear Wing Pokémon,45,1000000,1.2,65,Yanyanmaヤンヤンマ,Yanma,50,193,75,45,95,bug,flying,38,2,0,
['Damp'| 'Water Absorb'| 'Unaware'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,Water Fish Pokémon,45,1000000,0.4,55,Upahウパー,Wooper,50,194,25,25,15,water,ground,8.5,2,0,
['Damp'| 'Water Absorb'| 'Unaware'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,Water Fish Pokémon,85,1000000,1.4,95,Nuohヌオー,Quagsire,50,195,65,65,35,water,ground,75,2,0,
['Synchronize'| 'Magic Bounce'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,Eifieエーフィ,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0,
['Synchronize'| 'Inner Focus'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,Moonlight Pokémon,110,1000000,1,95,Blackyブラッキー,Umbreon,88.1,197,60,130,65,dark,,27,2,0,
['Insomnia'| 'Super Luck'| 'Prankster'],1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,Yamikarasuヤミカラス,Murkrow,50,198,85,42,91,dark,flying,2.1,2,0,
['Oblivious'| 'Own Tempo'| 'Regenerator'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2,95,Yadokingヤドキング,Slowking,50,199,100,110,30,water,psychic,79.5,2,0,
['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,Mumaムウマ,Misdreavus,50,200,85,85,85,ghost,,1,2,0,
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,Unknownアンノーン,Unown,,201,72,48,48,psychic,,5,2,0,
['Shadow Tag'| 'Telepathy'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,Sonansソーナンス,Wobbuffet,50,202,33,58,33,psychic,,28.5,2,0,
['Inner Focus'| 'Early Bird'| 'Sap Sipper'],2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,Kirinrikiキリンリキ,Girafarig,50,203,90,65,85,normal,psychic,41.5,2,0,
['Sturdy'| 'Overcoat'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,Kunugidamaクヌギダマ,Pineco,50,204,35,35,15,bug,,7.2,2,0,
['Sturdy'| 'Overcoat'],0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,Foretosフォレトス,Forretress,50,205,60,60,40,bug,steel,125.8,2,0,
['Serene Grace'| 'Run Away'| 'Rattled'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,Nokocchiノコッチ,Dunsparce,50,206,65,65,45,normal,,14,2,0,
['Hyper Cutter'| 'Sand Veil'| 'Immunity'],0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,Gligerグライガー,Gligar,50,207,35,65,85,ground,flying,64.8,2,0,
['Rock Head'| 'Sturdy'| 'Sheer Force'],0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,Haganeilハガネール,Steelix,50,208,55,95,30,steel,ground,400,2,0,
['Intimidate'| 'Run Away'| 'Rattled'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,Buluブルー,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,
['Intimidate'| 'Quick Feet'| 'Rattled'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,Granbuluグランブル,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0,
['Poison Point'| 'Swift Swim'| 'Intimidate'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,Qwilfish,50,211,55,55,85,water,poison,3.9,2,0,
['Swarm'| 'Technician'| 'Light Metal'],0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,Scizor,50,212,65,100,75,bug,steel,118,2,0,
['Sturdy'| 'Gluttony'| 'Contrary'],1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,Shuckle,50,213,10,230,5,bug,rock,20.5,2,0,
['Swarm'| 'Guts'| 'Moxie'],0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,Heracross,50,214,40,105,75,bug,fighting,54,2,0,
['Inner Focus'| 'Keen Eye'| 'Pickpocket'],2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,Sneasel,50,215,35,75,115,dark,ice,28,2,0,
['Pickup'| 'Quick Feet'| 'Honey Gather'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,Teddiursa,50,216,50,50,40,normal,,8.8,2,0,
['Guts'| 'Quick Feet'| 'Unnerve'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,Ursaring,50,217,75,75,55,normal,,125.8,2,0,
['Magma Armor'| 'Flame Body'| 'Weak Armor'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,Slugma,50,218,70,40,20,fire,,35,2,0,
['Magma Armor'| 'Flame Body'| 'Weak Armor'],0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,Magcargo,50,219,90,80,30,fire,rock,55,2,0,
['Oblivious'| 'Snow Cloak'| 'Thick Fat'],1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,Swinub,50,220,30,30,50,ice,ground,6.5,2,0,
['Oblivious'| 'Snow Cloak'| 'Thick Fat'],1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,Piloswine,50,221,60,60,50,ice,ground,55.8,2,0,
['Hustle'| 'Natural Cure'| 'Regenerator'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,water,rock,5,2,0,
['Hustle'| 'Sniper'| 'Moody'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,Remoraid,50,223,65,35,65,water,,12,2,0,
['Suction Cups'| 'Sniper'| 'Moody'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,Octillery,50,224,105,75,45,water,,28.5,2,0,
['Vital Spirit'| 'Hustle'| 'Insomnia'],0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,Delibird,50,225,65,45,75,ice,flying,16,2,0,
['Swift Swim'| 'Water Absorb'| 'Water Veil'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,Mantine,50,226,80,140,70,water,flying,220,2,0,
['Keen Eye'| 'Sturdy'| 'Weak Armor'],0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,Skarmory,50,227,40,70,70,steel,flying,50.5,2,0,
['Early Bird'| 'Flash Fire'| 'Unnerve'],1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,Dark Pokémon,30,1250000,0.6,45,Delvilデルビル,Houndour,50,228,80,50,65,dark,fire,10.8,2,0,
['Early Bird'| 'Flash Fire'| 'Unnerve'],1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,Dark Pokémon,90,1250000,1.4,75,Hellgarヘルガー,Houndoom,50,229,140,90,115,dark,fire,35,2,0,
['Swift Swim'| 'Sniper'| 'Damp'],1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,Kingdra,50,230,95,95,85,water,dragon,152,2,0,
['Pickup'| 'Sand Veil'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,Phanpy,50,231,40,40,40,ground,,33.5,2,0,
['Sturdy'| 'Sand Veil'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,Donphan,50,232,60,60,50,ground,,120,2,0,
['Trace'| 'Download'| 'Analytic'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,Porygon2,,233,105,95,60,normal,,32.5,2,0,
['Intimidate'| 'Frisk'| 'Sap Sipper'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,Stantler,50,234,85,65,85,normal,,71.2,2,0,
['Own Tempo'| 'Technician'| 'Moody'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,Smeargle,50,235,20,45,75,normal,,58,2,0,
['Guts'| 'Steadfast'| 'Vital Spirit'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,Tyrogue,100,236,35,35,35,fighting,,21,2,0,
['Intimidate'| 'Technician'| 'Steadfast'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,Hitmontop,100,237,35,110,70,fighting,,48,2,0,
['Oblivious'| 'Forewarn'| 'Hydration'],2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,Smoochum,0,238,85,65,65,ice,psychic,6,2,0,
['Static'| 'Vital Spirit'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,Electric Pokémon,37,1000000,0.6,45,Elekidエレキッド,Elekid,75.4,239,65,55,95,electric,,23.5,2,0,
['Flame Body'| 'Vital Spirit'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,Magby,75.4,240,70,55,83,fire,,21.4,2,0,
['Thick Fat'| 'Scrappy'| 'Sap Sipper'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,Miltank,0,241,40,70,100,normal,,75.5,2,0,
['Natural Cure'| 'Serene Grace'| 'Healer'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,Blissey,0,242,75,135,55,normal,,46.8,2,0,
['Pressure'| 'Inner Focus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,,243,115,100,115,electric,,178,2,1,
['Pressure'| 'Inner Focus'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,,244,90,75,100,fire,,198,2,1,
['Pressure'| 'Inner Focus'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2,100,Suicuneスイクン,Suicune,,245,90,115,85,water,,187,2,1,
['Guts'| 'Sand Veil'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,Rock Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,Larvitar,50,246,45,50,41,rock,ground,72,2,0,
['Shed Skin'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,Pupitar,50,247,65,70,51,rock,ground,152,2,0,
['Sand Stream'| 'Unnerve'],2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,164,10240,35,700,45,Armor Pokémon,150,1250000,2,100,Bangirasバンギラス,Tyranitar,50,248,95,120,71,rock,dark,202,2,0,
['Pressure'| 'Multiscale'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,,249,90,154,110,psychic,flying,216,2,1,
['Pressure'| 'Regenerator'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,,250,110,154,90,fire,flying,199,2,1,
['Natural Cure'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,,251,100,100,100,psychic,grass,5,2,1,
['Overgrow'| 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,Treecko,88.1,252,65,55,70,grass,,5,3,0,
['Overgrow'| 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0,
['Overgrow'| 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0,
['Blaze'| 'Speed Boost'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,Torchic,88.1,255,70,50,45,fire,,2.5,3,0,
['Blaze'| 'Speed Boost'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0,
['Blaze'| 'Speed Boost'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Blaze Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,fire,fighting,52,3,0,
